date,site,observer,quadrat,id,1_pc,1_9,2_pc,2_9,3_pc,3_9,4_pc,4_9,5_pc,5_9,6_pc,6_9,7_pc,7_9,8_pc,8_9,9_pc,9_9,10_pc,10_9
10/11/2012,S1,Group,1,sorrel(e),10.00,6,10.00,9,70.00,9,5.00,3,0.00,0,30.00,9,25.00,5,0.00,0,0.00,0,40.00,9
10/11/2012,S1,Group,1,tall speargrass (thick)(n),5.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,speargrass 1(n),30.00,9,50.00,9,20.00,9,75.00,9,1.00,2,3.00,3,30.00,9,15.00,9,5.00,9,15.00,8
10/11/2012,S1,Group,1,wild oats(e),40.00,9,15.00,9,40.00,9,60.00,9,5.00,6,0.00,0,5.00,4,2.00,3,5.00,9,5.00,3
10/11/2012,S1,Group,1,great brome(e),0.00,0,3.00,7,10.00,6,5.00,4,1.00,1,40.00,9,1.00,3,0.00,0,0.00,0,15.00,6
10/11/2012,S1,Group,1,oval brome(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,nob sedge(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Skeleton weed(e),2.00,1,25.00,8,2.00,2,0.00,0,5.00,6,4.00,3,10.00,9,3.00,4,5.00,5,10.00,2
10/11/2012,S1,Group,1,Austral crassula (succulent)(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,cooch(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Patterson's curse(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Erodium pink(e),0.00,0,0.00,0,0.00,0,5.00,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Erodium blue(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,common cudweed(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,native geranium(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Yortkshire fog(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Barley grass(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,flatweed(e),10.00,8,2.00,3,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,2.00,4,1.00,1,0.00,0
10/11/2012,S1,Group,1,weeping grass(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,8.00,3,15.00,3
10/11/2012,S1,Group,1,oxalis(n),0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,2.00,2,1.00,1
10/11/2012,S1,Group,1,native panic grass(n),0.00,0,2.00,3,0.00,0,0.00,0,2.00,3,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0
10/11/2012,S1,Group,1,Chilean whitlow(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Aira hairy ligule(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,proliferous pink(e),0.00,0,0.00,0,2.00,2,0.00,0,2.00,7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Phalaris(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,ribwort plantain(e),3.00,3,0.00,0,0.00,0,0.00,0,0.00,0,2.00,2,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,dock(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,2.00,4,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,ryecorn(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,hare's foot clover(e),0.00,0,1.00,1,0.00,0,0.00,0,5.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,cluster clover(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,sub clover(e),0.00,0,3.00,4,5.00,4,0.00,0,1.00,2,0.00,0,0.00,0,0.00,0,10.00,6,15.00,6
10/11/2012,S1,Group,1,half glume vulpia(e),0.00,0,0.00,0,0.00,0,0.00,0,30.00,6,0.00,0,40.00,9,80.00,9,0.00,0,0.00,0
10/11/2012,S1,Group,1,tall vulpia(e),0.00,0,0.00,0,0.00,0,5.00,4,80.00,9,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,bare ground,0.00,0,0.00,0,5.00,2,0.00,0,0.00,0,0.00,0,25.00,5,2.00,1,10.00,6,7.00,3
10/11/2012,S1,Group,1,grass litter,30.00,9,30.00,9,5.00,2,50.00,9,2.00,1,0.00,0,60.00,9,70.00,9,30.00,9,70.00,9
10/11/2012,S1,Group,1,leaf litter,0.00,0,1.00,2,0.00,0,0.00,0,50.00,9,100.00,9,1.00,1,1.00,2,1.00,2,1.00,4
10/11/2012,S1,Group,1,rock,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,35.00,4,0.00,0,2.00,1,0.00,0
10/11/2012,S1,Group,1,Hypochaeris glabra,3.00,2,0.00,0,1.00,1,2.00,2,5.00,7,5.00,5,3.00,4,5.00,9,10.00,9,2.00,3
10/11/2012,S1,Group,1,Fleabane,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1
10/11/2012,S1,Group,1,Austrodanthonia sp.,0.00,0,5.00,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,1,Eragrostis,0.00,0,0.00,0,0.00,0,0.00,0,1.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,Sheeps burr(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,sorrel(e),10.00,8,20.00,9,40.00,9,0.00,0,50.00,9,12.00,9,15.00,9,0.00,0,5.00,5,20.00,9
10/11/2012,S1,Group,2,Aira species(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,Capeweed(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,three awned grass(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,wallaby grasses(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,tall speargrass (thick)(n),7.00,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,speargrass 1(n),35.00,9,1.00,2,25.00,9,5.00,3,12.00,9,10.00,7,20.00,9,80.00,9,10.00,9,15.00,9
10/11/2012,S1,Group,2,wild oats(e),15.00,5,15.00,9,20.00,9,30.00,9,10.00,7,5.00,7,5.00,9,10.00,9,5.00,8,0.00,0
10/11/2012,S1,Group,2,red grass(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,great brome(e),0.00,0,10.00,6,10.00,9,5.00,5,20.00,9,20.00,9,2.00,2,5.00,5,0.00,0,20.00,8
10/11/2012,S1,Group,2,oval brome(e),0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,red brome(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,knob sedge(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,saffron thistle(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,Centaurium broad(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,caustic weed(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,windmill grass(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,Skeleton weed(e),3.00,1,30.00,8,5.00,3,0.00,0,2.00,3,25.00,7,5.00,4,0.00,0,3.00,1,4.00,4
10/11/2012,S1,Group,2,bindweed(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,austral bears ear(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,sweet hounds tongue(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,slender tick trefoil(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,Patterson's curse(e),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,Native wheat grass(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
10/11/2012,S1,Group,2,common cudweed(n),0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
